,Unnamed: 0,Network,Assignment,Influence,Treatment,Feature Names,Mean Estimated,Mean True,Perc Diff Overall (%),Mean Bias,Bias Lower Bound (95%),Bias Upper Bound (95%),FPR
0,0,barabasi_albert_graph,random,0.3,0.3,Naive,1.494,0.3,398.025,1.194,1.037316789433112,1.34490806038502,0.18
1,1,barabasi_albert_graph,random,0.3,0.3,"degree_centrality, betweenness_centrality, community",0.946,0.3,215.392,0.646,0.466515166010659,0.8277717844325458,0.09
2,2,barabasi_albert_graph,random,0.3,0.3,"degree_centrality, betweenness_centrality",0.944,0.3,214.77,0.644,0.4659065777177051,0.8231141422660181,0.1
3,3,barabasi_albert_graph,random,0.3,0.3,community,1.484,0.3,394.741,1.184,1.0302122921262056,1.3392212948628608,0.18
4,4,barabasi_albert_graph,random,0.3,0.3,Node2Vec,0.601,0.3,100.414,0.301,0.0361234099532708,0.5673762866617241,0.04
5,5,barabasi_albert_graph,random,0.6,0.3,Naive,2.35,0.3,683.313,2.05,1.8272697094294097,2.270727062153676,0.33
6,6,barabasi_albert_graph,random,0.6,0.3,"degree_centrality, betweenness_centrality, community",1.266,0.3,322.023,0.966,0.8127075223692751,1.1224021395855934,0.01
7,7,barabasi_albert_graph,random,0.6,0.3,"degree_centrality, betweenness_centrality",1.264,0.3,321.412,0.964,0.8036171752474024,1.1273886863237146,0.01
8,8,barabasi_albert_graph,random,0.6,0.3,community,2.341,0.3,680.428,2.041,1.817683221920257,2.2653347408564515,0.32
9,9,barabasi_albert_graph,random,0.6,0.3,Node2Vec,0.861,0.3,187.07,0.561,0.2941288403323072,0.8243030203969706,0.04
10,10,barabasi_albert_graph,random,0.9,0.3,Naive,7.481,0.3,2393.671,7.181,6.304303982215072,8.049483383617394,0.79
11,11,barabasi_albert_graph,random,0.9,0.3,"degree_centrality, betweenness_centrality, community",1.832,0.3,510.597,1.532,1.3146126138726917,1.741309588232841,0.07
12,12,barabasi_albert_graph,random,0.9,0.3,"degree_centrality, betweenness_centrality",1.842,0.3,513.981,1.542,1.328479278907737,1.7567679272265977,0.06
13,13,barabasi_albert_graph,random,0.9,0.3,community,7.457,0.3,2385.733,7.157,6.277420044020461,8.016750789213354,0.79
14,14,barabasi_albert_graph,random,0.9,0.3,Node2Vec,1.004,0.3,234.615,0.704,0.4277378166547293,0.9805730741315578,0.02
15,15,watts_strogatz_graph,random,0.3,0.3,Naive,1.498,0.3,399.273,1.198,1.0390847790292974,1.3611040498008546,0.2
16,16,watts_strogatz_graph,random,0.3,0.3,"degree_centrality, betweenness_centrality, community",1.168,0.3,289.451,0.868,0.6987878286594797,1.034037972234901,0.05
17,17,watts_strogatz_graph,random,0.3,0.3,"degree_centrality, betweenness_centrality",1.21,0.3,303.262,0.91,0.7429190302496324,1.0763912673884009,0.07
18,18,watts_strogatz_graph,random,0.3,0.3,community,1.284,0.3,328.134,0.984,0.8107306827251332,1.1479322013781978,0.05
19,19,watts_strogatz_graph,random,0.3,0.3,Node2Vec,1.02,0.3,240.063,0.72,0.4472176455722247,1.0069833859982231,0.06
